productid,clusterid,gtin,mpn,sku,productname,brand,description,price,currency
abt_101,cluster_22641,8.24142E+11,,,MSI PS Series Aluminum Silver Laptop Computer,MSI,"1.60GHz (Turbo Boost Up To 3.40GHz) Intel Core i5-8250H Processor/ 14.0"" (1920x1080) LED Backlit Display/ 8GB DDR4 2400MHz Memory/ 512GB SSD/ NVIDIA GeForce MX 150 With 2GB GDDR5 Memory/ 720p Webcam/ Bluetooth 5.0/ Backlit Keyboard/ Windows 10 Pro 64-Bit/ Aluminum Silver Finish",1019,USD
abt_103,cluster_21906,1.90199E+11,,,"Apple MacBook Air 13"" Gold 1.6GHz Intel Core i5 Notebook Computer",Apple,1.6GHz (Turbo Boost Up To 3.60GHz) Dual-Core Intel Core i5 Processor/ 8GB Of 2133MHz LPDDR3 Onboard Memory/ 13.3-Inch LED-Backlit Display With IPS Technology/ 128GB PCIe-Based SSD/ Intel UHD Graphics 617/ 720p FaceTime HD Camera/ 802.11ac Wi-Fi/ Bluetooth 4.2/ Built-In 50.3-Watt-Hour Lithium-Polymer Battery/ macOS Mojave Operating System/ Gold Finish,1199,USD
abt_111,cluster_21834,1.90199E+11,,,"Apple MacBook Air 13"" Silver 1.6GHz Intel Core i5 Notebook Computer",Apple,1.6GHz (Turbo Boost Up To 3.60GHz) Dual-Core Intel Core i5 Processor/ 8GB Of 2133MHz LPDDR3 Onboard Memory/ 13.3-Inch LED-Backlit Display With IPS Technology/ 256GB PCIe-Based SSD/ Intel UHD Graphics 617/ 720p FaceTime HD Camera/ 802.11ac Wi-Fi/ Bluetooth 4.2/ Built-In 50.3-Watt-Hour Lithium-Polymer Battery/ macOS Mojave Operating System/ Silver Finish,1399,USD
abt_112,cluster_21898,1.90199E+11,,,"Apple MacBook Air 13"" Space Gray 1.6GHz Intel Core i5 Notebook Computer",Apple,1.6GHz (Turbo Boost Up To 3.60GHz) Dual-Core Intel Core i5 Processor/ 8GB Of 2133MHz LPDDR3 Onboard Memory/ 13.3-Inch LED-Backlit Display With IPS Technology/ 256GB PCIe-Based SSD/ Intel UHD Graphics 617/ 720p FaceTime HD Camera/ 802.11ac Wi-Fi/ Bluetooth 4.2/ Built-In 50.3-Watt-Hour Lithium-Polymer Battery/ macOS Mojave Operating System/ Space Gray Finish,1399,USD
abt_117,cluster_22254,1.9233E+11,,,Lenovo ThinkPad X1 Yoga Silver Laptop Computer,Lenovo,"1.60GHz (Turbo Boost Up To 3.40GHz) Intel Core i5-8250U Processor/ 14.0"" (1920 x 1080) IPS LED Backlit Touchscreen Display/ 256GB SSD M.2 PCIe NVMe Opal2/ 8GB Memory/ Intel UHD Graphics 620/ Backlit Keyboard/ Bluetooth 4.1/ 6MB Cache/ ThinkPad Pen Pro/ 720p Webcam/ Windows 10 Pro 64-Bit/ Silver Finish",1669,USD
abt_118,cluster_22134,1.92876E+11,,,Asus ROG Strix SCAR II GL704 Black Gaming Laptop Computer,ASUS,"2.20GHz (Turbo Boost Up To 3.90GHz) Intel Core i7-8750H Processor/ 17.3"" FHD (1920x1080) Matte 144Hz 3ms LED Backlit IPS-Level Display/ 256GB NVMe/PCIE SSD + 1TB 5400rpm SATA Hard Drive/ 16GB DDR4 Memory/ NVIDIA GTX1060 With 6GB GDDR5 Memory/ 802.11ac/ Bluetooth 5.0/ HD Web Camera/ Windows 10 64-Bit/ Black Finish",1699,USD
abt_121,cluster_22076,1.92876E+11,,,"Asus ROG Strix SCAR II 15.6"" Black Gaming Laptop Computer",ASUS,144Hz IPS-Type Display/ Slim 5mm Bezel/ 3ms Response Time/ Customizable Gaming Keyboard And Lighting Bar/ Anti-Dust Technology/ 8th-Generation Intel Core i7-8750H/ 256GB PCIe NVMe Solid State Drive & 1TB FireCuda SSHD/ 16GB DDR4 Memory/ Black Finish,1999,USD
abt_123,cluster_22290,8.24142E+11,,,MSI GS65 Stealth THIN-050 Matte Black Gaming Laptop Computer,MSI,"2.20GHz (Turbo Boost Up To 4.10Ghz) Intel Core i7-8750H Processor/ 15.6"" (1920x1080) Anti-Glare 144Hz LED Backlit Display/ 16GB DDR4 2400MHz Memory/ 512GB NVMe SSD/ NVIDIA GeForce GTX1060 With 6GB GDDR5 Memory/ Killer Gaming Network E2500/ 720p Webcam/ Windows 10 Pro/ Matte Black Finish",,
abt_126,cluster_22375,1.92019E+11,,,HP Chromebook Black Laptop Computer,HP,"1.10GHz (Turbo Boost Up To 2.40GHz) Intel Celeron N3350 Processor/ 14.0"" (1366x768) WLED Backlit Multitouch-Enabled Display/ 4GB LPDDR4-2133 SDRAM Memory/ 32GB eMMC/ 2MB Cache/ Intel HD Graphics 500/ 802.11ac/ HP TrueVision HD Camera/ SD Media Card Reader/ Chrome OS/ Black Finish",329,USD
abt_127,cluster_22063,8.89842E+11,,,"Microsoft Surface Book 2 13.5"" Silver 512GB i7 Laptop Computer",Microsoft,"8th Gen Intel Core i7-8650U (Quad-Core) Processor With Up To 4.20GHz Max Turbo Speed/ 13.5"" (3000x2000) PixelSense Multi-Touch Display/ 16GB 1866Mhz LPDDR3 Memory/ 512GB SSD/ NVIDIA GeForce GTX 1050 With 2GB GDDR5 Memory/ 802.11ac/ Bluetooth 4.1 LE/ 5.0 Megapixel Front-Facing Camera/ 8.0 Megapixel Rear-Facing Autofocus Camera With 1080p Full HD Video/ Front-Facing Stereo Speakers With Dolby Audio Premium/ Ambient Light Sensor/ Accelerometer/ Gyroscope/ Magnetometer/ Up To 17 Hours Of Video Playback/ Windows 10 Pro 64-Bit/ Silver Finish",2499,USD
