"MatchingRule","Record1Identifier","Record2Identifier","TotalSimilarity","IsMatch","0-LaptopNameComparatorJaccard-record1Value","0-LaptopNameComparatorJaccard-record2Value","0-LaptopNameComparatorJaccard-record1PreprocessedValue","0-LaptopNameComparatorJaccard-record2PreprocessedValue","0-LaptopNameComparatorJaccard-similarity","0-LaptopNameComparatorJaccard-postproccesedSimilarity","1-LaptopComparatorMongeElkan-record1Value","1-LaptopComparatorMongeElkan-record2Value","1-LaptopComparatorMongeElkan-record1PreprocessedValue","1-LaptopComparatorMongeElkan-record2PreprocessedValue","1-LaptopComparatorMongeElkan-similarity","1-LaptopComparatorMongeElkan-postproccesedSimilarity","2-LaptopComparatorMongeElkanTfIdf-record1Value","2-LaptopComparatorMongeElkanTfIdf-record2Value","2-LaptopComparatorMongeElkanTfIdf-record1PreprocessedValue","2-LaptopComparatorMongeElkanTfIdf-record2PreprocessedValue","2-LaptopComparatorMongeElkanTfIdf-similarity","2-LaptopComparatorMongeElkanTfIdf-postproccesedSimilarity"
"WekaMatchingRule","buydig_505","massgenie_618","0.9344262295081968",,"Hewlett Packard EBx360 1030G2 i57300U 16G 256G","HP - SB Mobile WKS 2LU39UT-ABA Zbook 14u G4 I7-7500U 256GB Workstation","Hewlett Packard EBx360 1030G2 i57300U 16G 256G","HP - SB Mobile WKS 2LU39UT-ABA Zbook 14u G4 I7-7500U 256GB Workstation","0.18518518518518517","0.18518518518518517","Hewlett Packard EBx360 1030G2 i57300U 16G 256G","HP - SB Mobile WKS 2LU39UT-ABA Zbook 14u G4 I7-7500U 256GB Workstation","Hewlett Packard EBx360 1030G2 i57300U 16G 256G","HP - SB Mobile WKS 2LU39UT-ABA Zbook 14u G4 I7-7500U 256GB Workstation","0.14782608695652175","0.14782608695652175","Hewlett Packard EBx360 1030G2 i57300U 16G 256G","HP - SB Mobile WKS 2LU39UT-ABA Zbook 14u G4 I7-7500U 256GB Workstation","Hewlett Packard EBx360 1030G2 i57300U 16G 256G","HP - SB Mobile WKS 2LU39UT-ABA Zbook 14u G4 I7-7500U 256GB Workstation","0.5884783028820716","0.5884783028820716"
"WekaMatchingRule","pcmg_438","sdicraft_422","0.16666666666666666",,"Lenovo ThinkPad T480s 8th Gen Intel Core i7-8650U 1.90GHz; 8MB Notebook PC - 16GB (8GBx2); 1x512GB SSD PCIe; 14in WQHD IPS Display; 4; Intel UHD 620; Bluetooth 4.1; IR & 720p HD Camera; Backlit Keyboard; Microsoft Windows 10 Pro 64-bit - Black; 3 Year Depot (20L7001YUS)","HP 15.6in ZBook 15u G3 Mobile Workstation","Lenovo ThinkPad T480s 8th Gen Intel Core i7-8650U 1.90GHz; 8MB Notebook PC - 16GB (8GBx2); 1x512GB SSD PCIe; 14in WQHD IPS Display; 4; Intel UHD 620; Bluetooth 4.1; IR & 720p HD Camera; Backlit Keyboard; Microsoft Windows 10 Pro 64-bit - Black; 3 Year Depot (20L7001YUS)","HP 15.6in ZBook 15u G3 Mobile Workstation","0.046153846153846156","0.046153846153846156","Lenovo ThinkPad T480s 8th Gen Intel Core i7-8650U 1.90GHz; 8MB Notebook PC - 16GB (8GBx2); 1x512GB SSD PCIe; 14in WQHD IPS Display; 4; Intel UHD 620; Bluetooth 4.1; IR & 720p HD Camera; Backlit Keyboard; Microsoft Windows 10 Pro 64-bit - Black; 3 Year Depot (20L7001YUS)","HP 15.6in ZBook 15u G3 Mobile Workstation","Lenovo ThinkPad T480s 8th Gen Intel Core i7-8650U 1.90GHz; 8MB Notebook PC - 16GB (8GBx2); 1x512GB SSD PCIe; 14in WQHD IPS Display; 4; Intel UHD 620; Bluetooth 4.1; IR & 720p HD Camera; Backlit Keyboard; Microsoft Windows 10 Pro 64-bit - Black; 3 Year Depot (20L7001YUS)","HP 15.6in ZBook 15u G3 Mobile Workstation","0.12195121951219512","0.12195121951219512","Lenovo ThinkPad T480s 8th Gen Intel Core i7-8650U 1.90GHz; 8MB Notebook PC - 16GB (8GBx2); 1x512GB SSD PCIe; 14in WQHD IPS Display; 4; Intel UHD 620; Bluetooth 4.1; IR & 720p HD Camera; Backlit Keyboard; Microsoft Windows 10 Pro 64-bit - Black; 3 Year Depot (20L7001YUS)","HP 15.6in ZBook 15u G3 Mobile Workstation","Lenovo ThinkPad T480s 8th Gen Intel Core i7-8650U 1.90GHz; 8MB Notebook PC - 16GB (8GBx2); 1x512GB SSD PCIe; 14in WQHD IPS Display; 4; Intel UHD 620; Bluetooth 4.1; IR & 720p HD Camera; Backlit Keyboard; Microsoft Windows 10 Pro 64-bit - Black; 3 Year Depot (20L7001YUS)","HP 15.6in ZBook 15u G3 Mobile Workstation","0.40692285128332584","0.40692285128332584"
"WekaMatchingRule","bestbuy_132","buydig_324","0.16666666666666666",,"Alienware - 15.54in Laptop - Intel Core i7 - 16GB Memory - NVIDIA GeForce GTX 1060 - 1TB + 8GB Hybrid Hard Drive - Epic Silver","Hewlett Packard 15.6in 650G4 i57200U 4GB/500 PC","Alienware - 15.54in Laptop - Intel Core i7 - 16GB Memory - NVIDIA GeForce GTX 1060 - 1TB + 8GB Hybrid Hard Drive - Epic Silver","Hewlett Packard 15.6in 650G4 i57200U 4GB/500 PC","0.11764705882352941","0.11764705882352941","Alienware - 15.54in Laptop - Intel Core i7 - 16GB Memory - NVIDIA GeForce GTX 1060 - 1TB + 8GB Hybrid Hard Drive - Epic Silver","Hewlett Packard 15.6in 650G4 i57200U 4GB/500 PC","Alienware - 15.54in Laptop - Intel Core i7 - 16GB Memory - NVIDIA GeForce GTX 1060 - 1TB + 8GB Hybrid Hard Drive - Epic Silver","Hewlett Packard 15.6in 650G4 i57200U 4GB/500 PC","0.11914893617021277","0.11914893617021277","Alienware - 15.54in Laptop - Intel Core i7 - 16GB Memory - NVIDIA GeForce GTX 1060 - 1TB + 8GB Hybrid Hard Drive - Epic Silver","Hewlett Packard 15.6in 650G4 i57200U 4GB/500 PC","Alienware - 15.54in Laptop - Intel Core i7 - 16GB Memory - NVIDIA GeForce GTX 1060 - 1TB + 8GB Hybrid Hard Drive - Epic Silver","Hewlett Packard 15.6in 650G4 i57200U 4GB/500 PC","0.582823615171963","0.582823615171963"
"WekaMatchingRule","truecurate_36","antonline_821","0.16666666666666666",,"Asus E402WAWH21 14&amp;quot; Laptop AMD Quad Core E2-6110 4GB Memory 64GB eMMC Flash Dark Blue","Lenovo ThinkPad T480 20L50054US 14in LCD Notebook","Asus E402WAWH21 14&amp;quot; Laptop AMD Quad Core E2-6110 4GB Memory 64GB eMMC Flash Dark Blue","Lenovo ThinkPad T480 20L50054US 14in LCD Notebook","0.030303030303030304","0.030303030303030304","Asus E402WAWH21 14&amp;quot; Laptop AMD Quad Core E2-6110 4GB Memory 64GB eMMC Flash Dark Blue","Lenovo ThinkPad T480 20L50054US 14in LCD Notebook","Asus E402WAWH21 14&amp;quot; Laptop AMD Quad Core E2-6110 4GB Memory 64GB eMMC Flash Dark Blue","Lenovo ThinkPad T480 20L50054US 14in LCD Notebook","0.06938775510204082","0.06938775510204082","Asus E402WAWH21 14&amp;quot; Laptop AMD Quad Core E2-6110 4GB Memory 64GB eMMC Flash Dark Blue","Lenovo ThinkPad T480 20L50054US 14in LCD Notebook","Asus E402WAWH21 14&amp;quot; Laptop AMD Quad Core E2-6110 4GB Memory 64GB eMMC Flash Dark Blue","Lenovo ThinkPad T480 20L50054US 14in LCD Notebook","0.5457056100083753","0.5457056100083753"
"WekaMatchingRule","buydig_191","truecurate_307","0.16666666666666666",,"Dell 12.5in i5 8350U 8GB 128GB","HP 14-BA110NR Pavilion x360 2-in-1 14&amp;quot; Touch-Screen Laptop Intel Core i5 8GB Memory 256GB Solid State Drive Silk Gold; Finish In Natural Silver","Dell 12.5in i5 8350U 8GB 128GB","HP 14-BA110NR Pavilion x360 2-in-1 14&amp;quot; Touch-Screen Laptop Intel Core i5 8GB Memory 256GB Solid State Drive Silk Gold; Finish In Natural Silver","0.13513513513513514","0.13513513513513514","Dell 12.5in i5 8350U 8GB 128GB","HP 14-BA110NR Pavilion x360 2-in-1 14&amp;quot; Touch-Screen Laptop Intel Core i5 8GB Memory 256GB Solid State Drive Silk Gold; Finish In Natural Silver","Dell 12.5in i5 8350U 8GB 128GB","HP 14-BA110NR Pavilion x360 2-in-1 14&amp;quot; Touch-Screen Laptop Intel Core i5 8GB Memory 256GB Solid State Drive Silk Gold; Finish In Natural Silver","0.2","0.2","Dell 12.5in i5 8350U 8GB 128GB","HP 14-BA110NR Pavilion x360 2-in-1 14&amp;quot; Touch-Screen Laptop Intel Core i5 8GB Memory 256GB Solid State Drive Silk Gold; Finish In Natural Silver","Dell 12.5in i5 8350U 8GB 128GB","HP 14-BA110NR Pavilion x360 2-in-1 14&amp;quot; Touch-Screen Laptop Intel Core i5 8GB Memory 256GB Solid State Drive Silk Gold; Finish In Natural Silver","0.509637159871827","0.509637159871827"
"WekaMatchingRule","truecurate_344","howardcomputer_2107","0.16666666666666666",,"Acer SP11132NC53M Spin 2-in-1 11.6&amp;quot; Touch-Screen Laptop Intel Celeron 4GB Memory 64GB eMMC Flash Gray","Lenovo ThinkPad X1 Yoga 20LF","Acer SP11132NC53M Spin 2-in-1 11.6&amp;quot; Touch-Screen Laptop Intel Celeron 4GB Memory 64GB eMMC Flash Gray","Lenovo ThinkPad X1 Yoga 20LF","0.03125","0.03125","Acer SP11132NC53M Spin 2-in-1 11.6&amp;quot; Touch-Screen Laptop Intel Celeron 4GB Memory 64GB eMMC Flash Gray","Lenovo ThinkPad X1 Yoga 20LF","Acer SP11132NC53M Spin 2-in-1 11.6&amp;quot; Touch-Screen Laptop Intel Celeron 4GB Memory 64GB eMMC Flash Gray","Lenovo ThinkPad X1 Yoga 20LF","0.09285714285714286","0.09285714285714286","Acer SP11132NC53M Spin 2-in-1 11.6&amp;quot; Touch-Screen Laptop Intel Celeron 4GB Memory 64GB eMMC Flash Gray","Lenovo ThinkPad X1 Yoga 20LF","Acer SP11132NC53M Spin 2-in-1 11.6&amp;quot; Touch-Screen Laptop Intel Celeron 4GB Memory 64GB eMMC Flash Gray","Lenovo ThinkPad X1 Yoga 20LF","0.34097468566410655","0.34097468566410655"
"WekaMatchingRule","abt_37","techcrave_1813","0.16666666666666666",,"Asus ROG Strix Scar GL703 Black Gaming Laptop Computer","ASUS GL703GS-DS74 INTEL CORE I7-8750H 2.2GHZ (TURBO UP TO","Asus ROG Strix Scar GL703 Black Gaming Laptop Computer","ASUS GL703GS-DS74 INTEL CORE I7-8750H 2.2GHZ (TURBO UP TO","0.125","0.125","Asus ROG Strix Scar GL703 Black Gaming Laptop Computer","ASUS GL703GS-DS74 INTEL CORE I7-8750H 2.2GHZ (TURBO UP TO","Asus ROG Strix Scar GL703 Black Gaming Laptop Computer","ASUS GL703GS-DS74 INTEL CORE I7-8750H 2.2GHZ (TURBO UP TO","0.11481481481481481","0.11481481481481481","Asus ROG Strix Scar GL703 Black Gaming Laptop Computer","ASUS GL703GS-DS74 INTEL CORE I7-8750H 2.2GHZ (TURBO UP TO","Asus ROG Strix Scar GL703 Black Gaming Laptop Computer","ASUS GL703GS-DS74 INTEL CORE I7-8750H 2.2GHZ (TURBO UP TO","0.5729228466689857","0.5729228466689857"
"WekaMatchingRule","sdicraft_38","antonline_646","0.16666666666666666",,"Apple 13.3in MacBook Air (Mid 2017; Silver)","Lenovo ThinkPad X1 Carbon 6th Gen 20KH002JUS 14in Touchscreen LCD Ultrabook","Apple 13.3in MacBook Air (Mid 2017; Silver)","Lenovo ThinkPad X1 Carbon 6th Gen 20KH002JUS 14in Touchscreen LCD Ultrabook","0.04","0.04","Apple 13.3in MacBook Air (Mid 2017; Silver)","Lenovo ThinkPad X1 Carbon 6th Gen 20KH002JUS 14in Touchscreen LCD Ultrabook","Apple 13.3in MacBook Air (Mid 2017; Silver)","Lenovo ThinkPad X1 Carbon 6th Gen 20KH002JUS 14in Touchscreen LCD Ultrabook","0.09302325581395349","0.09302325581395349","Apple 13.3in MacBook Air (Mid 2017; Silver)","Lenovo ThinkPad X1 Carbon 6th Gen 20KH002JUS 14in Touchscreen LCD Ultrabook","Apple 13.3in MacBook Air (Mid 2017; Silver)","Lenovo ThinkPad X1 Carbon 6th Gen 20KH002JUS 14in Touchscreen LCD Ultrabook","0.4342542619698152","0.4342542619698152"
"WekaMatchingRule","bestbuy_618","savingslots_649","0.16666666666666666",,"HP - EliteBook 14in Laptop - Intel Core i7 - 8GB Memory - 256GB Solid State Drive - Natural Silver; Diamond Cut Design","Lenovo 80US0002US Ts n42 n3060 14 4gb 32gb fd","HP - EliteBook 14in Laptop - Intel Core i7 - 8GB Memory - 256GB Solid State Drive - Natural Silver; Diamond Cut Design","Lenovo 80US0002US Ts n42 n3060 14 4gb 32gb fd","0.0625","0.0625","HP - EliteBook 14in Laptop - Intel Core i7 - 8GB Memory - 256GB Solid State Drive - Natural Silver; Diamond Cut Design","Lenovo 80US0002US Ts n42 n3060 14 4gb 32gb fd","HP - EliteBook 14in Laptop - Intel Core i7 - 8GB Memory - 256GB Solid State Drive - Natural Silver; Diamond Cut Design","Lenovo 80US0002US Ts n42 n3060 14 4gb 32gb fd","0.07555555555555556","0.07555555555555556","HP - EliteBook 14in Laptop - Intel Core i7 - 8GB Memory - 256GB Solid State Drive - Natural Silver; Diamond Cut Design","Lenovo 80US0002US Ts n42 n3060 14 4gb 32gb fd","HP - EliteBook 14in Laptop - Intel Core i7 - 8GB Memory - 256GB Solid State Drive - Natural Silver; Diamond Cut Design","Lenovo 80US0002US Ts n42 n3060 14 4gb 32gb fd","0.41760699754147373","0.41760699754147373"
"WekaMatchingRule","massgenie_326","pcmg_604","0.9344262295081968",,"Asus UX550VEDB71T 15.6 in. NanoEdge FHD Touch Laptop","ASUS ZenBook Pro UX550VE DB71T 7th Gen Intel Core i7-7700HQ 2.8GHz Notebook PC - 16GB RAM; 512GB NVMe SSD; 15.6in Touchscreen 1920 x 1080 (Full HD) Display; NVIDIA GeForce GTX 1050 Ti; Wi-Fi; Bluetooth; Microsoft Windows 10 Home 64-bit (UX550VE-DB71T)","Asus UX550VEDB71T 15.6 in. NanoEdge FHD Touch Laptop","ASUS ZenBook Pro UX550VE DB71T 7th Gen Intel Core i7-7700HQ 2.8GHz Notebook PC - 16GB RAM; 512GB NVMe SSD; 15.6in Touchscreen 1920 x 1080 (Full HD) Display; NVIDIA GeForce GTX 1050 Ti; Wi-Fi; Bluetooth; Microsoft Windows 10 Home 64-bit (UX550VE-DB71T)","0.14035087719298245","0.14035087719298245","Asus UX550VEDB71T 15.6 in. NanoEdge FHD Touch Laptop","ASUS ZenBook Pro UX550VE DB71T 7th Gen Intel Core i7-7700HQ 2.8GHz Notebook PC - 16GB RAM; 512GB NVMe SSD; 15.6in Touchscreen 1920 x 1080 (Full HD) Display; NVIDIA GeForce GTX 1050 Ti; Wi-Fi; Bluetooth; Microsoft Windows 10 Home 64-bit (UX550VE-DB71T)","Asus UX550VEDB71T 15.6 in. NanoEdge FHD Touch Laptop","ASUS ZenBook Pro UX550VE DB71T 7th Gen Intel Core i7-7700HQ 2.8GHz Notebook PC - 16GB RAM; 512GB NVMe SSD; 15.6in Touchscreen 1920 x 1080 (Full HD) Display; NVIDIA GeForce GTX 1050 Ti; Wi-Fi; Bluetooth; Microsoft Windows 10 Home 64-bit (UX550VE-DB71T)","0.16153846153846155","0.16153846153846155","Asus UX550VEDB71T 15.6 in. NanoEdge FHD Touch Laptop","ASUS ZenBook Pro UX550VE DB71T 7th Gen Intel Core i7-7700HQ 2.8GHz Notebook PC - 16GB RAM; 512GB NVMe SSD; 15.6in Touchscreen 1920 x 1080 (Full HD) Display; NVIDIA GeForce GTX 1050 Ti; Wi-Fi; Bluetooth; Microsoft Windows 10 Home 64-bit (UX550VE-DB71T)","Asus UX550VEDB71T 15.6 in. NanoEdge FHD Touch Laptop","ASUS ZenBook Pro UX550VE DB71T 7th Gen Intel Core i7-7700HQ 2.8GHz Notebook PC - 16GB RAM; 512GB NVMe SSD; 15.6in Touchscreen 1920 x 1080 (Full HD) Display; NVIDIA GeForce GTX 1050 Ti; Wi-Fi; Bluetooth; Microsoft Windows 10 Home 64-bit (UX550VE-DB71T)","0.4923076923076922","0.4923076923076922"
